,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1939524,168.8654783,8.6,95,61,0.76,New Zealand,1662708397
1,saskylakh,71.954308,114.119835,4.32,97,100,5.76,Sakha Republic,1662708398
2,qaanaaq,77.4670434,-69.2284828,-2.61,74,10,3.12,Greenland,1662708399
3,svetlyy,50.8202378,60.8515601,17.19,28,100,5.15,Orenburg Oblast,1662708400
4,rikitea,-23.1223034,-134.9691543,22.69,69,0,9.08,The Tuamotu and Gambier Islands,1662708401
5,cascais,38.6970565,-9.4222945,21.95,76,75,5.36,Portugal,1662708402
6,amderma,69.751221,61.66369599999999,6.25,75,80,1.73,Nenets Autonomous Okrug,1662708403
7,souillac,44.893626,1.478613,16.79,93,40,1.19,Occitanie,1662708404
8,bonavista,48.6533449,-53.11182489999999,11.92,68,29,6.07,Canada,1662708404
9,nizhneyansk,71.450058,136.1122279,5.99,67,100,3.94,Sakha Republic,1662708406
10,kapaa,22.0947394,-159.3245926,26.62,79,20,6.69,Hawaii,1662708407
11,tsihombe,-25.3168473,45.48630929999999,25.12,44,0,3.82,Androy,1662708408
12,tuatapere,-46.1315913,167.6896869,5.46,88,33,0.86,New Zealand,1662708409
13,palembang,-2.9760735,104.7754307,32.04,58,40,2.06,South Sumatra,1662708410
14,capitan bado,-23.2585481,-55.541359,22.03,47,0,3.62,Paraguay,1662708411
15,ushuaia,-54.8019121,-68.3029511,6.79,65,75,2.06,Tierra del Fuego Province,1662708412
16,auki,-8.7678593,160.6960306,27.77,75,11,1.89,Solomon Islands,1662708413
17,tura,40.7515497,-73.9869104,19.92,81,0,3.09,Manhattan,1662708240
18,mys shmidta,68.8931114,-179.4125967,4.13,76,0,4.72,Chukotka Autonomous Okrug,1662708415
19,calabozo,8.9180089,-67.4158925,22.88,91,21,1.44,Guárico,1662708416
20,iqaluit,63.74669300000001,-68.5169669,8.07,81,20,4.12,Nunavut,1662708417
21,vila franca do campo,37.7157269,-25.4345063,24.23,94,100,5.62,Portugal,1662708419
22,saint-philippe,-21.3595223,55.7665126,24.77,68,47,5.48,Saint-Pierre,1662708420
23,makakilo city,21.3446347,-158.0865948,25.38,68,0,3.6,Hawaii,1662708421
24,cherskiy,68.742677,161.350784,12.94,61,100,3.82,Sakha Republic,1662708422
25,narsaq,60.9129622,-46.050483,6.18,66,69,0.87,Greenland,1662708424
26,skibbereen,51.55592439999999,-9.262130299999999,16.14,92,4,2.84,County Cork,1662708426
27,palabuhanratu,-6.9889961,106.5523635,27.5,81,85,1.67,West Java,1662708428
28,santa rosa,38.440429,-122.7140548,29.64,59,0,0.0,California,1662708428
29,muros,42.8073676,-9.0460525,14.78,91,88,1.99,Galicia,1662708430
30,khatanga,71.964027,102.440613,2.24,99,100,3.19,Krasnoyarsk Krai,1662708431
31,bluff,-46.597299,168.3302209,8.9,72,23,0.37,New Zealand,1662708433
32,sept-iles,50.21329679999999,-66.3757921,12.94,97,40,1.03,Côte-Nord,1662708435
33,hilo,19.7216023,-155.084887,25.31,83,0,2.57,Hawaii,1662708435
34,albany,42.6525793,-73.7562317,15.99,95,75,0.0,New York,1662708437
35,jamestown,37.2116383,-76.7752102,22.78,95,0,2.06,Virginia,1662708439
36,vaini,-21.1935,-175.1751534,24.14,88,20,2.57,Tonga,1662708440
37,mankachar,25.5354761,89.8622017,34.57,55,24,1.01,Assam,1662708442
38,barentsburg,78.0648475,14.2334595,4.12,94,100,1.4,Svalbard and Jan Mayen,1662708443
39,adrar,28.0174403,-0.2642497,28.11,17,4,4.68,Adrar Province,1662708444
40,beringovskiy,63.0611249,179.3485395,8.01,85,0,3.03,Chukotka Autonomous Okrug,1662708445
